('000019c5-d0e2-4f15-bd0c-8375a48698e5'	'_KeRaMiS_'	'46.109.172.49')
('00018d8e-6a58-4277-9f9d-923bd6ef7845'	'Snowblower'	'24.128.211.179')
('000239ab-0569-4e75-9e2d-fec09b669ecd'	'Tragginq'	'78.21.57.12')
('00037b31-1c83-4614-bbe8-ada914707fd3'	'CringePing'	'108.46.101.119')
('0007e4e4-c505-4ded-bcb9-17611ee875e4'	'iMaxiCordobeh'	'200.117.48.227')
('00096246-216b-4c91-8ba5-6174796db755'	'iNoaaah'	'190.49.59.184')
('000c840c-2b89-4488-9794-fff6f1ba51fc'	'lzo'	'142.129.80.121')
('000ccf68-fc79-45b6-91fb-d264eea4acfd'	'Riptide898'	'69.167.15.32')
('000e2372-2b6c-486d-b8a7-2f26d3c1aa86'	'TheDarkKnight21'	'73.205.113.217')
('000e6d13-e914-4a2e-be87-da28dc1e6bc4'	'BQ1'	'74.101.118.239')
('000eca17-3918-4606-a992-f9ddf82f66c7'	'EnglishIsHard'	'187.131.186.21')
('00110ba3-cbfb-4afa-ac4f-11d7cc5b6bbd'	'Sports564'	'24.246.179.141')
('0011a9ab-3fea-402b-96c8-0cd6a36dc94d'	'_InfinityGames_'	'73.156.101.231')
('0011c26b-f35d-49f3-977f-1e7f320d02f2'	'xSemPvP'	'163.158.74.222')
('00131909-132f-459a-8450-a8ea16da3abb'	'Relayinq'	'73.32.11.238')
('00157baf-c262-4f56-90a4-941daceab597'	'chipping'	'73.244.169.35')
('0016e29f-c20c-483a-ad2e-00cd8cc5f4ab'	'SmokingSmarties'	'99.99.164.151')
('00189bd9-1af6-4ae3-b059-bc748fe6b7ef'	'Xx_jriid_xX'	'189.169.99.207')
('0018e73e-a996-4fc4-a723-4a5cc5016f40'	'Immortal_'	'114.206.3.210')
('001e83e8-27fe-4505-93f7-f10d6cd4ea6d'	'Kleran'	'151.230.103.8')
('00234384-9c0e-40a6-ba02-e158c2f92ece'	'simone_99'	'84.222.249.156')
('0023eac8-d0ff-463e-b495-f8914c8c6523'	'busses'	'73.237.5.176')
('002546f8-64ac-442b-a1e2-58b288236ea9'	'supergamers105'	'62.73.7.186')
